Nama,Harga
KLEVV DDR5 VALUE SERIES PC44800 5600MHZ 64GB,Rp3.151.000
CORSAIR DDR5 VENGEANCE WHITE PC48000 32GB,Rp2.169.000
RAM GSKILL DDR5 RIPJAWS S5 PC48000 32GB,Rp2.195.000
RAM GSKILL DDR5 RIPJAWS S5 PC51200 64GB,Rp3.881.000
TEAM DELTA DDR4 RGB PC25600 DUAL 64GB,Rp2.713.000
VGEN PLATINUM DDR5 8GB,Rp498.000
KLEVV CRAS V RGB DDR5 BRILLIANT WHITE PC51200 64GB,Rp4.060.000
GEIL DDR5 POLARIS RGB PC44800 5600MHZ 32GB,Rp1.797.000
RAM GSKILL DDR5 RIPJAWS S5 PC51200 48GB,Rp3.115.000
GSKILL DDR5 TRIDENT Z5 NEO RGB PC51200 32GB,Rp2.426.000
RAM GSKILL DDR5 FLARE X5 PC48000 48GB,Rp2.967.000
PNY XLR8 GAMING EPICX RGB WHITE DDR4 PC25600 32GB,Rp1.356.000
PNY XLR8 GAMING EPICX RGB DDR4 PC25600 32GB,Rp1.356.000
TEAM ELITE PLUS SILVER DDR5 PC44800 5600MHZ 16GB,Rp912.000
TEAM ELITE PLUS SILVER DDR5 PC44800 5600MHZ DUAL 16GB,Rp1.090.000
TEAM ELITE PLUS SILVER DDR5 PC41600 5200MHZ 16GB,Rp912.000
TEAM ELITE PLUS BLACK DDR5 PC44800 5600MHZ 16GB,Rp912.000
VGEN PLATINUM DDR5 8GB,Rp456.000
GSKILL DDR5 TRIDENT Z5 RGB PC51200 32GB,Rp2.363.000
GSKILL DDR5 TRIDENT Z5 RGB PC44800 48GB,Rp3.150.000
TEAM ELITE PLUS BLACK DDR5 PC44800 16GB,Rp1.090.000
RAM PATRIOT VIPER VENOM RGB DDR5 PC51200 32GB,Rp2.261.000
GSKILL DDR5 TRIDENT Z5 RGB PC60800 32GB,Rp3.177.000
CORSAIR DDR5 VENGEANCE RGB PC44800 64GB,Rp3.915.000
ADATA DDR5 XPG LANCER RGB WHITE VERSION PC51200 6400MHZ 64GB,Rp4.489.000
ADATA DDR5 XPG LANCER RGB ROG CERTIFIED PC52800 6600MHZ 32GB,Rp2.786.000
ADATA DDR5 XPG LANCER RGB PC51200 6400MHZ 64GB,Rp4.489.000
ADATA DDR5 XPG CASTER RGB PC51200 6400MHZ 64GB,Rp4.368.000
KLEVV CRAS V RGB DDR5 PC60800 7600MHZ 48GB,Rp4.070.000
KLEVV CRAS V RGB DDR5 PC57600 7200MHZ 48GB,Rp3.868.000
TEAM ELITE PLUS SILVER DDR5 PC44800 DUAL 32GB,Rp1.914.000
KLEVV CRAS V RGB DDR5 PC60800 7600MHZ 32GB,Rp3.110.000
VGEN PLATINUM DDR5 32GB,Rp1.766.000
TEAM TCREATE CLASSIC 10L DDR4 PC21300 64GB,Rp2.065.000
CORSAIR DDR5 VENGEANCE PC48000 32GB,Rp2.165.000
CORSAIR DDR5 VENGEANCE PC41600 16GB,Rp1.267.000
CORSAIR DDR5 DOMINATOR PLATINUM RGB PC44800 2X32GB CMT64GX5M2B5600C40,Rp4.377.000
AVEXIR DDR4 CORE2 TITANIUM RGB GAMING PC21330 4GB,Rp277.000
AVEXIR DDR4 CORE RED 21330 4GB,Rp246.000
AVEXIR DDR4 CORE BLUE 21330 4GB,Rp246.000
PNY PERFORMANCE DDR5 PC44800 5600MHZ 16GB,Rp899.000
PNY XLR8 DDR4 PC25600 3200MHZ 32GB,Rp1.137.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB BLACK PC52800 64GB,Rp5.767.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB WHITE PC48000 64GB,Rp5.531.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB BLACK PC48000 64GB,Rp5.531.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB BLACK PC57600 32GB,Rp3.952.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB WHITE PC52800 32GB,Rp3.556.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB BLACK PC52800 32GB,Rp3.556.000
