Nama,Harga
V GEN RESCUE SSD 960GB SATA3,Rp996.000
V GEN RESCUE SSD 480GB SATA3,Rp531.000
V GEN RESCUE SSD 240GB SATA3,Rp338.000
V GEN RESCUE SSD 120GB SATA3,Rp222.000
SEAGATE SSD M2 2280 PCIE GEN 4X4 500GB NAS,Rp1.909.000
TEAM T FORCE VULCAN Z SSD 1TB SATA3,Rp1.180.000
WDC BLACK SN770 SSD 1TB M2 NVME PCIE GEN 4X4,Rp1.565.000
WDC BLACK SN770 SSD 500GB M2 NVME PCIE GEN 4X4,Rp1.090.000
TRANSCEND ESD270C 250GB PORTABLE SSD USB,Rp589.000
KINGSTON KC3000 SKC3000D,Rp3.054.000
MSI SPATIUM M450 M2 NVME PCIE GEN 4X4 500GB,Rp824.000
KINGSTON KC3000 PCIE NVME M2 SSD 1024GB,Rp1.752.000
CORSAIR MP600 PRO LPX 1TB PCIE GEN 4X4 NVME M2 SSD,Rp1.930.000
SEAGATE FIRECUDA 530 HEATSINK SSD 1TB M2 PCIE GEN4,Rp2.431.000
SANDISK SSD EXTREME E61 PORTABLE 1TB,Rp1.805.000
ORICO N300 256GB M2 2280,Rp750.000
NETAC SSD N535S SATA2I 240GB,Rp322.000
LEXAR SSD M2 2280 PCIE GEN 3X4 256GB,Rp469.000
BE QUIET MC1 PRO,Rp226.000
SAMSUNG SSD 980 PRO M2 PCIE GEN 4X4 2TB MZ V8P2T0BW,Rp2.920.000
SAMSUNG SSD 980 M2 PCIE GEN 3X4 1TB MZ V8V1T0BW,Rp1.799.000
WD MY PASSPORT SSD 500GB,Rp1.090.000
SAMSUNG SSD 980 PRO M2 PCIE GEN 4X4 1TB MZ V8P1T0BW,Rp1.840.000
CORSAIR 2TB CSSD F2000GBMP600COR MP600 CORE M2 NVME PCIE GEN 4X4,Rp3.166.000
PATRIOT P210 SATA3 1TB,Rp1.009.000
SAMSUNG SSD 870 EVO 1TB,Rp1.669.000
TEAM T253E2001T0C101 EX2 1TB,Rp1.267.000
SAMSUNG SSD 870 EVO 500GB,Rp970.000
SAMSUNG SSD 870 EVO 250GB,Rp740.000
TRANSCEND ESD370C 1TB PORTABLE SSD,Rp1.815.000
TEAM T253X6256G0C101 CX2 256GB,Rp417.000
ORICO M200 512GB MSATA,Rp1.079.000
ASUS ROG STR9 ARION M2 SSD ENCLOSURE USB,Rp905.000
V GEN SSD M2 NVME 2TB,Rp2.279.000
TEAM T CREATE CLASSIC SATA 1TB,Rp1.017.000
JONSBO M2 RED SSD HEATSINK COOLER,Rp92.000
JONSBO M2 GREY SSD HEATSINK COOLER,Rp92.000
V GEN SSD 2TB,Rp1.966.000
TEAM T253E2002T0C101 EX2 2TB,Rp2.347.000
APACER AS2280P4 256GB M2 NVME PCIE X4,Rp436.000
ORICO GV100 512GB PORTABLE NVME SSD,Rp1.789.000
ORICO GV100 256GB PORTABLE NVME SSD,Rp1.158.000
PATRIOT P210 SATA3 512GB,Rp604.000
SEAGATE ONE TOUCH SSD 500GB,Rp1.481.000
SEAGATE FIRECUDA GAMING SSD 500GB,Rp2.039.000
SEAGATE FIRECUDA GAMING SSD 1TB,Rp2.713.000
TEAM T253X6512G0C101 CX2 512GB,Rp594.000
TEAM T253E2512G0C101 EX2 512GB,Rp610.000
WDC BLUE PC SSD 2TB,Rp2.577.000
V GEN SSD 1TB,Rp1.048.000
ORICO V500 128GB M2 NVME PCIE X4,Rp578.000
ORICO V500 512GB M2 NVME PCIE X4,Rp1.486.000
V GEN SSD 256GB,Rp359.000
KLEVV SSD CRAS C710 512GB M2 2280 NVME PCLE GEN 3X4,Rp637.000
KLEVV SSD CRAS C710 1TB M2 2280 NVME PCLE GEN 3X4,Rp1.120.000
V GEN SSD 512GB,Rp563.000
V GEN SSD 128GB,Rp232.000
