Nama,Harga
FSP HV PRO 650W 80 PLUS,Rp827.000
BE QUIET DARK POWER PRO 12 1500W,Rp6.761.000
COOLER MASTER V750 SFX GOLD,Rp2.216.000
COOLER MASTER V850 SFX GOLD,Rp2.370.000
ENERMAX REVOLUTION DF 80 PLUS GOLD 850W,Rp1.588.000
GIGABYTE P650B 650W 80 PLUS BRONZE,Rp875.000
COOLER MASTER V750 GOLD V2,Rp2.013.000
COOLER MASTER MWE GOLD 750 V2,Rp1.696.000
COOLER MASTER MWE GOLD 650 V2,Rp1.515.000
GIGABYTE P550B 550W 80 PLUS BRONZE,Rp701.000
COOLER MASTER MWE 750 V2 80 PLUS BRONZE,Rp1.111.000
COOLER MASTER MWE 550 V2 80 PLUS BRONZE,Rp815.000
SIMBADDA 480W BOX,Rp382.000
FIRST PLAYER GAMING PSU AR 650W,Rp997.000
FSP HV PRO 550W 80 PLUS,Rp732.000
AEROCOOL UNITED POWER 500W 80 PLUS WHITE,Rp497.000
POWER SUPPLY AEROCOOL LUX RGB 650W MODULAR 80 PLUS BRONZE,Rp718.000
PSU SUPER FLOWER LEADEX III GOLD ARGB 750W,Rp1.696.000
PSU SUPER FLOWER LEADEX III GOLD ARGB 550W,Rp1.593.000
PSU SUPER FLOWER LEADEX III GOLD 850W,Rp1.696.000
PSU SUPER FLOWER LEADEX III GOLD 650W,Rp1.418.000
PSU SUPER FLOWER LEADEX III GOLD 550W,Rp1.315.000
PSU SEASONIC PRIME PLATINUM PX 750,Rp2.757.000
PSU SEASONIC PRIME PLATINUM PX 650,Rp2.454.000
PSU SEASONIC FOCUS GOLD GX 850,Rp2.403.000
PSU SEASONIC FOCUS GOLD GX 750,Rp1.999.000
PSU SEASONIC FOCUS GOLD GX 650,Rp1.696.000
CORSAIR CX SERIES 650W,Rp959.000
CORSAIR RM SERIES 650W MODULAR,Rp1.588.000
CORSAIR CX SERIES 550W,Rp854.000
AEROCOOL LUX RGB 550W 80 PLUS BRONZE,Rp618.000
ANTEC NEOECO MODULAR 550W,Rp904.000
ENLIGHT 400W,Rp429.000
ENLIGHT 450W,Rp497.000
POWERLOGIC ARMAGGEDDON VOLTRON PLATINUM 700 WATT,Rp849.000
POWERLOGIC ARMAGGEDDON VOLTRON BRONZE 235 WATT FX,Rp261.000
SIMBADDA 380W OEM,Rp157.000
ENERMAX REVOLUTION SFX 80 GOLD 650W FULL MODULAR,Rp1.541.000
CORSAIR AX SERIES DIGITAL 1600W FULLY MODULAR AX1600I,Rp8.121.000
CORSAIR HX SERIES 1200W FULL MODULAR,Rp4.317.000
FIRST PLAYER GAMING PSU BLACK SIR 450W PS 450BS,Rp318.000
FIRST PLAYER GAMING PSU DK60 600W FULL MODULAR,Rp863.000
GAMEMAX PSU 650W GP 650,Rp644.000
GAMEMAX PSU 450W GP 450,Rp534.000
POWER SUPPLY DEEPCOOL 750W,Rp869.000
PSU DEEPCOOL 750W,Rp1.415.000
DIGITAL ALLIANCE GAMING PSU 650W 80 PLUS BRONZE,Rp565.000
BE QUIET STRAIGHT POWER 12 1200W FULL MODULAR PCIE,Rp4.272.000
BE QUIET STRAIGHT POWER 12 1000W FULL MODULAR PCIE,Rp3.666.000
PCCOOLER PSU KF550 550W 80 PLUS WHITE ACTIVE PFC FLAT CABLES,Rp471.000
PCCOOLER PSU KF650 650W 80 PLUS WHITE ACTIVE PFC FLAT CABLES,Rp523.000
MSI MAG A750BN PCIE5 750W 80 PLUS BRONZE,Rp1.069.000
FIRST PLAYER NGDP ATX 850W HA 850BA4 80 PLUS GOLD FULL MODULAR,Rp1.726.000
FIRST PLAYER NGDP ATX 750W HA 750BA4 80 PLUS GOLD FULL MODULAR,Rp1.593.000
FRACTAL ION 650W 80 PLUS GOLD,Rp1.289.000
FRACTAL ANODE 750W 80 PLUS BRONZE,Rp1.005.000
NZXT C850 850W,Rp1.992.000
NZXT C750 750W,Rp1.069.000
