Nama,Harga
sparepart R.B.K card oxvaa xlim 0.6,Rp18.000
MSI GeForce RTX 4070 12GB GDDR6X - Gaming X Slim 12G,Rp11.229.000
ZOTAC RTX 4060 Ti TWIN EDGE OC 8GB GDDR6 - WHITE,Rp6.680.000
new CRAVAT ORIGINAL variasi,Rp68.000
ASRock Radeon RX 6600 Challenger WHITE 8Gb GDDR6 - WHITE EDITION,Rp3.750.000
Adjustable Graphic Card Anti Sag Bracket GPU VGA holder support,Rp25.000
VGA POWERCOLOR RX 7800 XT 16GB D6 OC HELLHOUND | RX 7800XT 16GB GDDR6,Rp9.200.000
PowerColor Red Dragon Radeon� RX 550 4GB GDDR5 Low Profile,Rp1.185.000
Gigabyte GeForce RTX 3060 WINDFORCE OC 12G 12GB GDDR6,Rp4.743.000
VGA GTX 1660 SUPER, MURAH LIKE NEW, GANTENG KENCENG BERGARANSI! ,Rp1.899.999
VGA ASUS GT730-SL-2GD5-BRK GDDR5 HDMI DVI-D D-Sub - GT730 2GB GDDR5,Rp450.000
VGA MSI GeForce GT 1030 AERO ITX OC 2G D4 | GT1030 2GB GDDR4,Rp1.112.000
ASUS ROG STRIX RTX 4090 OC 24GB GDDR6X,Rp38.990.000
ASUS Dual Radeon RX 7600 XT 16GB OC Edition,Rp5.904.000
GPD G1 2024  Graphics Card Expansion Dock eGPU RX 7600M XT UPDATED,Rp11.499.000
VGA Colorful Geforce GTX 1650 EX 4GB-V 4GB - 4 GB GDDR6,Rp2.155.000
XFX Speedster SWFT 210 AMD Radeon� RX 6600 8GB GDDR6,Rp3.099.000
Vga PCIe Gtx 960 2Gb 128Bit Ddr5,Rp795.000
VGA Midasforce G210 DDR3 64 bit 1GB LP Nvidia Garansi 2 Tahun untuk PC,Rp288.000
VGA RTX 3060 TI LHR GIGABYTE GAMING OC, LIKE NEW, GARANSI PANJANG,Rp4.499.999
VGA AMD RADEON YESTON RX 6800 16GB GDDR6X 256BIT TRIPLE FAN,Rp6.150.000
INNO3D GEFORCE RTX 4060 Ti 8GB TWIN X2,Rp6.970.000
GIGABYTE GeForce RTX 4070 SUPER 12GB WINDFORCE OC,Rp11.333.000
ZOTAC GAMING GeForce RTX 4070 SUPER 12GB Twin Edge OC ,Rp9.967.000
VGA Card Colorful iGame GeForce RTX 4070 SUPER Ultra W OC 12GB-V,Rp11.501.000
VGA Midasforce Nvidia GT730 DDR3 128 bit 4GB LP Garansi 2 Tahun,Rp600.000
VenomRX GeForce GT 740 4GB DDR3,Rp559.000
MSI GeForce RTX 4060 8GB GAMING X MLG,Rp6.540.000
ASVPE VULCAN original set variasi,Rp37.000
EZDIY-FAB Graphic Card Holder YIHPI341-1 - WHITE,Rp380.000
GALAX Geforce RTX 4060 8GB GDDR6 2X (1-Click OC) - Lighting EFFECT,Rp5.000.000
CUSTOM Adjustable GPU Holder / Support / VGA Anti Sag Bracket,Rp30.000
SAPPHIRE PULSE Radeon RX 7600 XT 16GB Gaming OC,Rp5.991.000
ZOTAC GAMING GeForce RTX 3050 8GB ECO,Rp3.498.000
sparepart R.B.K card OXVVA XLIM 0.6,Rp18.000
ZOTAC GAMING GeForce RTX 4070 Ti SUPER 16GB Trinity OC Black Edition,Rp13.564.000
GALAX Nvidia GeForce RTX 4070 SUPER 12GB GDDR6X 2X 1-Click OC ,Rp10.400.000
Asus GeForce RTX 3050 6GB GDDR6 - Dual OC Edition,Rp3.449.000
GeForce NOW GFN StarHub Cloud Gaming Singapore Bulanan - PREMIUM,Rp175.900
Gigabyte Nvidia GeForce RTX 4070 Super Aero OC 12GB GDDR6X - VGA,Rp12.620.000
PALIT RTX 3060 DUAL 12GB GDDR6,Rp4.490.000
EZDIY-FAB GPU Power Sleeved Cable Extension 12VHPWR ,Rp225.000
VGA Midasforce AMD RX 550 4GB GDDR5 128BIT - VGA Midas RX 550,Rp950.000
VGA Card DDR3 Nvidia NVS300 512Mb 64Bit DMS59,Rp38.000
SAPPHIRE NITRO+ RX 7800 XT 16GB OC GDDR6 ,Rp9.600.000
GIGABYTE GeForce RTX 4070 SUPER GAMING OC 12GB GDDR6X,Rp11.970.000
POWERCOLOR AMD RADEON RX 7800 XT HELLHOUND 16GB GDDR6 - WHITE,Rp9.090.000
VGA Arktek Nvidia GTX 750 Ti 2GB GDDR5 128-bit HDMI/DVI/VGA,Rp859.000
GALAX GeForce RTX 4080 SUPER 16GB GDDR6X SG (1-Click OC) - ARGB EFFECT,Rp17.990.000
Colorful iGame GeForce RTX 3050 8GB Ultra W DUO OC,Rp3.791.000
GALAX Geforce RTX 3050 EX 1-Click OC 6GB GDDR6,Rp3.080.000
Palit GeForce RTX 4060 8GB Dual,Rp5.029.000
VGA MSI GeForce RTX 4080 SUPER 16G VENTUS 3X OC,Rp19.559.000
VGA RTX 3080 , ADEM , MULUSSSSSSSS, GARANSI MASI PANJANGGG, MURAAAAAH,Rp6.799.999
INNO3D GEFORCE RTX 4070 Ti SUPER TWIN X2,Rp14.299.000
VGA RTX 3060 TI TRIPLE FAN TERMURAH, LIKE NEW, GARANSI 2024,Rp3.999.999
VGA ASUS GTX 1650 4GB oc D6 V2 dual auto extreme,Rp2.246.000
ZOTAC GAMING GEFORCE RTX 4060 TWIN EDGE OC WHITE EDITION 8GB GDDR6,Rp5.110.000
ASUS TUF Gaming Radeon RX 7800 XT 16GB OC Edition,Rp9.613.000
VGA PALIT GeForce RTX 3050 STORMX 6GB GDDR6,Rp2.935.000
VGA GIGABYTE RX 7600 GAMING OC 8G GDDR6 128bit,Rp4.550.000
Stiker Radeon Grapichs 2020 Mengkilat,Rp3.000
Palit GeForce RTX 4080 SUPER 16GB JetStream OC,Rp18.165.000
Sapphire NITRO+ Radeon RX 6700 XT/ RX 6700XT 12GB GDDR6 NITRO PLUS,Rp4.150.000
VGA VURRION GT 610 2GB DDR3 64Bit GAMING VGA ORI,Rp315.000
original top fill cartridge xlim sq  pro xlim pro xlim v2 oxvaa,Rp45.000
VGA AMD Sapphire Radeon RX 6700 XT/ RX 6700XT 12GB GDDR6 PULSE,Rp3.799.999
